frame0,frame1,time_s,kp0,kp1,matches,inliers,inlier_ratio,mean_motion_px,blur,brightness
0,2,0.03336666666666667,2500,2500,1733,1561,0.9007501442585113,1.4073041677474976,138.13570826244705,91.06794320305201
2,4,0.06673333333333334,2500,2500,1746,1485,0.8505154639175257,1.6026731729507446,138.1026647539643,91.1823283245095
4,6,0.10010000000000001,2500,2500,1782,1578,0.8855218855218855,1.5055665969848633,137.6227892494236,90.46472477421364
6,8,0.13346666666666668,2500,2500,1786,1603,0.8975363941769317,1.2801862955093384,136.88935698713323,90.76755488944254
8,10,0.16683333333333333,2500,2500,1769,1592,0.899943470887507,1.237145185470581,137.65219367805588,90.56346445811273
10,12,0.20020000000000002,2500,2500,1708,1420,0.8313817330210773,1.9222809076309204,133.95893085010624,90.28973645281843
12,14,0.23356666666666667,2500,2500,1730,1454,0.8404624277456647,1.649395227432251,136.5625244560227,89.63215217222049
14,16,0.26693333333333336,2500,2500,1761,1550,0.8801817149346962,0.9706194996833801,134.88843862877627,89.97973372781065
16,18,0.3003,2500,2500,1787,1618,0.9054280917739228,0.9168832302093506,135.52205937988964,89.499017050763
18,20,0.33366666666666667,2500,2500,1792,1670,0.9319196428571429,0.7348620891571045,132.7483902397753,89.82635958424167
20,22,0.3670333333333333,2500,2500,1736,1573,0.9061059907834101,0.8408072590827942,135.71663128003144,89.33153417938337
22,24,0.40040000000000003,2500,2500,1869,1773,0.9486356340288925,0.6891438364982605,134.4300159512884,89.49076417004049
24,26,0.4337666666666667,2500,2500,1849,1709,0.924283396430503,0.6142685413360596,135.7348391996836,89.38638080037371
26,28,0.46713333333333334,2500,2500,1893,1800,0.9508716323296355,0.5618734955787659,135.5199791717141,89.60043308159452
28,30,0.5005000000000001,2500,2500,1893,1747,0.9228737453777074,0.5212831497192383,134.2035619594258,89.73188161787606
30,32,0.5338666666666667,2500,2500,1877,1796,0.9568460309003729,0.5576450824737549,135.6950258763209,89.30539259576456
32,34,0.5672333333333334,2500,2500,2088,2027,0.9707854406130269,0.19021394848823547,135.16989056202507,89.2299721659919
34,36,0.6006,2500,2500,2058,1996,0.9698736637512148,0.20478956401348114,133.81421961296763,89.2669145126129
36,38,0.6339666666666667,2500,2500,1969,1887,0.9583544946673438,0.29165464639663696,131.95494977593762,89.17584475241358
38,40,0.6673333333333333,2500,2500,1935,1817,0.9390180878552972,0.34962353110313416,131.096950899678,89.15892148084708
40,42,0.7007,2500,2500,2002,1904,0.951048951048951,0.3056100606918335,131.67391096610098,89.13006754126441
42,44,0.7340666666666666,2500,2500,1839,1698,0.9233278955954323,0.6202782988548279,130.6891164737432,89.42063122858923
44,46,0.7674333333333333,2500,2500,1840,1736,0.9434782608695652,0.5674608945846558,132.22129982816824,89.29798933354095
46,48,0.8008000000000001,2500,2500,1987,1923,0.9677906391545043,0.3297397196292877,132.96927261714694,89.00831613983183
48,50,0.8341666666666667,2500,2500,1957,1883,0.9621870209504343,0.2927456796169281,131.58683333005553,89.38249863749611
50,52,0.8675333333333334,2500,2500,1790,1545,0.8631284916201117,0.9213762283325195,130.06519872126302,89.03704940049829
52,54,0.9009,2500,2500,1791,1636,0.9134561697375768,0.8528442978858948,130.7656356611974,89.14133934132668
54,56,0.9342666666666667,2500,2500,1840,1721,0.9353260869565218,0.8221813440322876,130.2773006376206,89.06431602304578
56,58,0.9676333333333333,2500,2500,1814,1626,0.896361631753032,1.5250555276870728,128.04462491906534,89.2120026860791
58,60,1.0010000000000001,2500,2500,1679,1434,0.8540798094103633,1.8727221488952637,139.0854961077946,89.01536320460916
60,62,1.0343666666666667,2500,2500,1751,1552,0.8863506567675614,1.075528621673584,134.25234330277777,88.77327351292432
62,64,1.0677333333333334,2500,2500,1802,1611,0.8940066592674806,1.3691675662994385,130.31761213817023,89.13341054188726
64,66,1.1011,2500,2500,1778,1499,0.8430821147356581,1.5837523937225342,128.89231430002934,89.28235557458736
66,68,1.1344666666666667,2500,2500,1809,1634,0.9032614704256495,1.3054698705673218,130.49774698672994,88.98045001557148
68,70,1.1678333333333333,2500,2500,1911,1814,0.9492412349555207,0.4091894328594208,131.45349676762274,89.157423699782
70,72,1.2012,2500,2500,1795,1585,0.883008356545961,1.0688000917434692,129.2078810904923,89.0442443942697
72,74,1.2345666666666666,2500,2500,1792,1635,0.9123883928571429,1.1167925596237183,131.36988866372516,88.73149817035191
74,76,1.2679333333333334,2500,2500,1899,1789,0.942074776197999,0.4016132652759552,131.30121645926036,88.79799906571162
76,78,1.3013000000000001,2500,2500,1746,1460,0.8361970217640321,1.8822569847106934,128.17706895508417,88.88737153534724
78,80,1.3346666666666667,2500,2500,1761,1524,0.8654173764906303,1.851897954940796,130.2036728648188,88.98043055123014
80,82,1.3680333333333334,2500,2500,1779,1511,0.849353569421023,1.054344654083252,132.4407446950569,89.10023065244472
82,84,1.4014,2500,2500,1743,1531,0.8783706253585771,0.7062869668006897,131.7321959658935,89.02240637651822
84,86,1.4347666666666667,2500,2500,1823,1697,0.9308831596269885,1.001130223274231,130.11295935814846,89.03588348645282
86,88,1.4681333333333333,2500,2500,1801,1624,0.9017212659633537,1.3624902963638306,130.79397770345457,88.95175373715354
88,90,1.5015,2500,2500,1773,1530,0.8629441624365483,1.482641339302063,131.50881233275635,89.26993343195267
90,92,1.5348666666666666,2500,2500,1844,1669,0.9050976138828634,0.9148999452590942,131.19310075000453,89.05320383058238
92,94,1.5682333333333334,2500,2500,1801,1643,0.9122709605774569,0.4592057764530182,132.88628117440288,88.98573750389286
94,96,1.6016000000000001,2500,2500,1791,1654,0.9235064209938582,0.7054701447486877,131.68772578814387,89.05239898006852
96,98,1.6349666666666667,2500,2500,1835,1647,0.8975476839237058,1.1030571460723877,131.1750290107178,89.41437733572096
98,100,1.6683333333333334,2500,2500,1838,1718,0.9347116430903155,0.7453935742378235,131.69955621227518,89.16889987542821
100,102,1.7017,2500,2500,1832,1724,0.9410480349344978,0.7459032535552979,131.48856566184372,89.1010724852071
102,104,1.7350666666666668,2500,2500,1819,1621,0.8911489829576691,1.5355780124664307,131.26661441622048,89.12564524291498
104,106,1.7684333333333333,2500,2500,1768,1519,0.8591628959276018,1.3574764728546143,131.46993999908318,89.12672746029274
106,108,1.8018,2500,2500,1802,1670,0.9267480577136515,1.0175565481185913,132.2397867673073,89.2331000856431
108,110,1.8351666666666666,2500,2500,1870,1762,0.9422459893048128,1.0957502126693726,131.33804744509328,89.17292120834631
110,112,1.8685333333333334,2500,2500,1757,1542,0.877632327831531,1.266074299812317,132.38736331164785,89.15968448302709
112,114,1.9019,2500,2500,1787,1636,0.9155008393956351,1.303580641746521,130.27424295733388,89.27615618187481
114,116,1.9352666666666667,2500,2500,1862,1753,0.9414607948442535,0.9432237148284912,132.45901757519323,88.88386211460605
116,118,1.9686333333333335,2500,2500,1888,1796,0.951271186440678,0.4012269079685211,131.65140413852566,88.84349793677983
118,120,2.0020000000000002,2500,2500,1873,1802,0.9620928990923652,0.3845744729042053,141.5281796751855,88.87321220024914
120,122,2.0353666666666665,2500,2500,1819,1699,0.9340296866410115,0.4929531514644623,133.24451071477137,88.74219869199626
122,124,2.0687333333333333,2500,2500,1829,1704,0.931656642974303,0.5593072175979614,131.83360067100614,88.7246155792588
124,126,2.1021,2500,2500,1846,1697,0.919284940411701,0.8887399435043335,130.60724610485252,88.53273220959203
126,128,2.135466666666667,2500,2500,1984,1900,0.9576612903225806,0.29780566692352295,131.88582085158356,88.594556796948
128,130,2.168833333333333,2500,2500,1809,1666,0.9209508015478165,0.5961084365844727,132.82647407257497,89.10152600436001
130,132,2.2022,2500,2500,1875,1762,0.9397333333333333,0.7438101768493652,132.17636960531243,89.2691227421364
132,134,2.2355666666666667,2500,2500,1832,1718,0.9377729257641921,0.9178645610809326,132.11676850816994,89.09531201339146
134,136,2.2689333333333335,2500,2500,1800,1604,0.8911111111111111,0.858596682548523,132.95935358921594,89.20488360323887
136,138,2.3023000000000002,2500,2500,1844,1721,0.9332971800433839,0.7269295454025269,132.13615793100493,89.18089964185612
138,140,2.3356666666666666,2500,2500,1793,1614,0.9001673173452315,1.1768040657043457,132.7265043510797,88.96330679694799
140,142,2.3690333333333333,2500,2500,1833,1594,0.8696126568466994,1.1089715957641602,130.79598429715858,88.95745776237932
142,144,2.4024,2500,2500,1747,1564,0.8952489982827705,1.1041663885116577,131.59111647423964,88.87118109623171
144,146,2.435766666666667,2500,2500,1811,1662,0.9177250138045279,0.48314887285232544,132.34492632768684,88.6797609778885
146,148,2.469133333333333,2500,2500,1766,1542,0.8731596828992072,1.069730281829834,130.79549270983944,88.52954297726565
148,150,2.5025,2500,2500,1742,1541,0.8846153846153846,1.8595257997512817,129.5062641407582,89.09307458735596
150,152,2.5358666666666667,2500,2500,1752,1514,0.8641552511415526,1.327370047569275,132.55928722458648,88.77916536904391
152,154,2.5692333333333335,2500,2500,1793,1630,0.9090909090909091,1.4021573066711426,132.00776888086332,88.66274427748365
154,156,2.6026000000000002,2500,2500,1802,1600,0.8879023307436182,1.8601815700531006,130.09737910707204,88.7073049672999
156,158,2.6359666666666666,2500,2500,1735,1462,0.8426512968299712,1.7073078155517578,131.15572154254096,88.8028534724385
158,160,2.6693333333333333,2500,2500,1733,1514,0.8736295441431045,1.7497061491012573,132.1871428248273,88.99114761756462
160,162,2.7027,2500,2500,1713,1402,0.8184471687098658,2.0123720169067383,125.66615964949382,89.17896293989412
162,164,2.736066666666667,2500,2500,1718,1481,0.8620488940628638,2.9924004077911377,127.10018968094492,88.88415991902833
164,166,2.769433333333333,2500,2500,1729,1415,0.8183921341816078,2.696652889251709,127.32652735367574,89.4630956088446
166,168,2.8028,2500,2500,1697,1404,0.8273423688862699,1.9709566831588745,131.27193442795658,90.28378328402367
168,170,2.8361666666666667,2500,2500,1680,1444,0.8595238095238096,1.9661694765090942,134.6905149294832,90.64904040797259
170,172,2.8695333333333335,2500,2500,1748,1533,0.8770022883295194,2.2276673316955566,133.56145179979322,90.49172278885082
