frame0,frame1,time_s,kp0,kp1,matches,inliers,inlier_ratio,mean_motion_px,blur,brightness
0,2,0.03336666666666667,2500,2500,1979,1770,0.8943911066195048,1.3860028982162476,62.49345219816585,95.25423508747359
2,4,0.06673333333333334,2500,2500,1880,1703,0.9058510638297872,2.0634124279022217,58.73686662959446,95.25045662500146
4,6,0.10010000000000001,2500,2500,1926,1674,0.8691588785046729,3.2351555824279785,56.668422420210455,95.22352960914067
6,8,0.13346666666666668,2500,2500,1869,1553,0.8309256286784377,3.3511242866516113,57.03907879596186,95.18784429233337
8,10,0.16683333333333333,2500,2500,1914,1648,0.8610240334378265,3.671560287475586,56.80046069210931,95.20016003758039
10,12,0.20020000000000002,2500,2500,1880,1539,0.8186170212765957,3.086536407470703,58.7905065294309,95.10524258020844
12,14,0.23356666666666667,2500,2500,1905,1677,0.8803149606299212,2.405395030975342,60.3270103540819,95.0576310353279
14,16,0.26693333333333336,2500,2500,1901,1717,0.9032088374539716,2.1931540966033936,63.38363393345218,95.04072934537773
16,18,0.3003,2500,2500,1887,1596,0.8457869634340223,2.568600654602051,61.17582017247882,95.09042415064832
18,20,0.33366666666666667,2500,2500,1882,1619,0.8602550478214666,2.690434455871582,60.65266923210069,95.11974516531868
20,22,0.3670333333333333,2500,2500,1846,1577,0.8542795232936078,3.12673020362854,59.72393293725258,95.18303514115986
22,24,0.40040000000000003,2500,2500,1865,1571,0.8423592493297587,2.318118095397949,62.08783814259694,95.16863175892534
24,26,0.4337666666666667,2500,2500,1845,1541,0.835230352303523,2.8060879707336426,58.6465428527147,95.21594496574583
26,28,0.46713333333333334,2500,2500,1825,1599,0.8761643835616438,2.499140501022339,62.66997789509899,95.30111428171283
28,30,0.5005000000000001,2500,2500,1787,1513,0.846670397313934,2.790051221847534,64.31830964781086,95.38230162342589
30,32,0.5338666666666667,2500,2500,1854,1554,0.8381877022653722,2.798017978668213,62.9885660318814,95.46530379421823
32,34,0.5672333333333334,2500,2500,1821,1508,0.828116419549698,1.910017967224121,66.22323551487224,95.37444563098865
34,36,0.6006,2500,2500,1804,1483,0.8220620842572062,2.007312774658203,59.24433832561373,95.30278249477726
36,38,0.6339666666666667,2500,2500,1843,1679,0.9110146500271297,2.6666812896728516,59.15821675021693,95.22767351750055
38,40,0.6673333333333333,2500,2500,1809,1414,0.7816473189607518,2.212388038635254,61.239797295846486,95.19048848663095
40,42,0.7007,2500,2500,1860,1641,0.882258064516129,2.412194013595581,64.3690980696462,95.10597930744721
42,44,0.7340666666666666,2500,2500,1867,1499,0.8028923406534547,1.9204413890838623,66.870888139687,94.96634469498034
44,46,0.7674333333333333,2500,2500,1944,1699,0.8739711934156379,1.226197361946106,72.52001852639351,94.93497616213251
46,48,0.8008000000000001,2500,2500,1870,1659,0.8871657754010696,1.377333641052246,71.24421214522538,94.9195413617637
48,50,0.8341666666666667,2500,2500,1851,1639,0.8854673149648838,1.9147326946258545,65.70752115809417,95.00636721986858
50,52,0.8675333333333334,2500,2500,1820,1649,0.906043956043956,3.1435558795928955,57.31380628424262,95.15647575948555
52,54,0.9009,2500,2500,1678,1392,0.8295589988081049,5.606873035430908,51.431419296758655,95.44999883290734
54,56,0.9342666666666667,2500,2500,1764,1343,0.7613378684807256,4.8192291259765625,53.58550951078973,95.42853016350968
56,58,0.9676333333333333,2500,2500,1793,1519,0.8471834913552705,4.583307266235352,58.976778499410734,95.40367473711238
58,60,1.0010000000000001,2500,2500,1791,1462,0.8163037409268565,3.8049466609954834,65.92468721087766,95.32626512843855
60,62,1.0343666666666667,2500,2500,1895,1712,0.9034300791556729,3.4830985069274902,63.41707414460938,95.31759727717284
62,64,1.0677333333333334,2500,2500,1893,1591,0.8404648705758055,3.434474229812622,65.21470904591128,95.32665172788067
64,66,1.1011,2500,2500,1906,1673,0.8777544596012592,3.228583574295044,65.89800263260724,95.28332851907614
66,68,1.1344666666666667,2500,2500,1818,1569,0.863036303630363,1.7027692794799805,73.65087793534795,95.15268052005649
68,70,1.1678333333333333,2500,2500,1864,1533,0.8224248927038627,1.992084264755249,67.53859248234377,95.1875306361822
70,72,1.2012,2500,2500,1801,1453,0.8067740144364242,4.007544994354248,62.166006985724216,95.23814744465064
72,74,1.2345666666666666,2500,2500,1857,1461,0.7867528271405493,4.7613606452941895,59.32708422686291,95.21415931398293
74,76,1.2679333333333334,2500,2500,1855,1580,0.8517520215633423,4.708127021789551,61.73341207961326,94.58118150624978
76,78,1.3013000000000001,2500,2500,1840,1575,0.8559782608695652,3.467778205871582,66.78664130180732,94.4956591447545
78,80,1.3346666666666667,2500,2500,1843,1636,0.887683125339121,1.407220721244812,72.7164946447308,94.45623183712055
80,82,1.3680333333333334,2500,2500,1889,1708,0.9041821069348862,1.5448142290115356,68.9359050173328,94.37097425977149
82,84,1.4014,2500,2500,1932,1703,0.8814699792960663,1.447311520576477,70.48649243878394,94.28797792444242
84,86,1.4347666666666667,2500,2500,1872,1725,0.9214743589743589,1.3228527307510376,70.26764952473546,94.20389546351085
86,88,1.4681333333333333,2500,2500,1846,1623,0.8791982665222102,2.2055766582489014,67.84383188866401,94.19639689319935
88,90,1.5015,2500,2500,1777,1532,0.8621271806415307,1.224300742149353,75.43735578399281,94.17410980007703
90,92,1.5348666666666666,2500,2500,1719,1410,0.8202443280977313,2.1207704544067383,60.75180797739825,94.21633229462087
92,94,1.5682333333333334,2500,2500,1802,1443,0.8007769145394007,3.926464796066284,61.76200547286969,94.17975634023085
94,96,1.6016000000000001,2500,2500,1816,1530,0.8425110132158591,2.2863636016845703,61.074974123653284,94.13051232449844
96,98,1.6349666666666667,2500,2500,1867,1579,0.8457418318157471,2.509812831878662,62.75399984385285,94.70377729537948
98,100,1.6683333333333334,2500,2500,1753,1462,0.833998859098688,1.6985822916030884,65.39278522692709,94.6577909270217
100,102,1.7017,2500,2500,1762,1477,0.8382519863791147,1.5506837368011475,64.98748705173148,94.5931587946267
102,104,1.7350666666666668,2500,2500,1760,1360,0.7727272727272727,2.8857314586639404,60.27198269933804,94.66767693124658
104,106,1.7684333333333333,2500,2500,1682,1438,0.8549346016646849,3.2466180324554443,55.31505872460131,94.8105473081008
106,108,1.8018,2500,2500,1422,1113,0.7827004219409283,5.603147983551025,46.5651273154105,94.72984503927266
108,110,1.8351666666666666,2500,2500,1646,1282,0.778857837181045,8.29180908203125,46.92476669674176,94.56013444907391
110,112,1.8685333333333334,2500,2500,1545,1148,0.7430420711974111,7.058592319488525,51.13080005661468,94.4868490540714
112,114,1.9019,2500,2500,1584,1199,0.7569444444444444,8.149331092834473,52.36137017221031,94.5019446681372
114,116,1.9352666666666667,2500,2500,1656,1257,0.7590579710144928,7.676992416381836,48.10826452413528,94.61022460698155
116,118,1.9686333333333335,2500,2500,1638,1165,0.7112332112332113,8.173138618469238,50.597710535742316,94.671259176266
118,120,2.0020000000000002,2500,2500,1605,1262,0.7862928348909657,9.357054710388184,52.45706840666631,94.71350355379714
120,122,2.0353666666666665,2500,2500,1672,1271,0.7601674641148325,7.770263671875,50.68716518513493,94.7260716828309
122,124,2.0687333333333333,2500,2500,1657,1215,0.7332528666264333,6.803062915802002,50.44915573233018,94.68366318289509
124,126,2.1021,2500,2500,1677,1278,0.7620751341681574,7.237630844116211,48.105323097893844,95.14040270532078
126,128,2.135466666666667,2500,2500,1687,1351,0.8008298755186722,6.093878746032715,47.811381531884216,95.11816959023376
128,130,2.168833333333333,2500,2500,1707,1346,0.7885178676039836,6.435738563537598,51.135427722525556,95.06083835183175
130,132,2.2022,2500,2500,1596,1203,0.7537593984962406,8.188515663146973,52.57097309624585,95.13904158351131
132,134,2.2355666666666667,2500,2500,1511,1129,0.7471872931833223,10.34403133392334,46.997679662489645,95.04795875494555
134,136,2.2689333333333335,2500,2500,1303,828,0.6354566385264774,13.405367851257324,46.57461006357192,94.98844870044233
136,138,2.3023000000000002,2500,2500,1192,831,0.6971476510067114,8.750689506530762,43.330092431263715,94.72589661893258
138,140,2.3356666666666666,2500,2500,1517,1170,0.7712590639419907,7.536965847015381,46.1251505847703,94.47111737450837
140,142,2.3690333333333333,2500,2500,1631,1280,0.7847946045370938,8.942837715148926,41.98439550703965,94.18215398620497
142,144,2.4024,2500,2500,1636,1373,0.839242053789731,9.075608253479004,41.229786353256685,93.95052767176686
144,146,2.435766666666667,2500,2500,1610,1357,0.8428571428571429,7.503064155578613,42.068526371422564,94.33359884691245
146,148,2.469133333333333,2500,2500,1604,1336,0.8329177057356608,4.53642463684082,53.30308345050513,94.06830774482687
148,150,2.5025,2500,2500,1727,1426,0.8257093225246092,2.8435802459716797,66.59144474184569,94.0246285727624
150,152,2.5358666666666667,2500,2500,1873,1635,0.8729311265349706,0.9499783515930176,66.15424281894344,94.13035330812413
152,154,2.5692333333333335,2500,2500,1698,1423,0.8380447585394581,2.647278308868408,52.481794699495325,94.94606427179254
154,156,2.6026000000000002,2500,2500,1742,1383,0.7939150401836969,5.152226448059082,50.56145678758985,95.09234620636532
156,158,2.6359666666666666,2500,2500,1826,1496,0.8192771084337349,4.542444705963135,54.570818007414864,95.12786958906668
158,160,2.6693333333333333,2500,2500,1823,1508,0.8272078990674712,3.859225034713745,54.28306041091155,95.15088611509867
160,162,2.7027,2500,2500,1810,1612,0.8906077348066298,2.460604190826416,67.44751148877647,95.59876740426922
162,164,2.736066666666667,2500,2500,1949,1795,0.9209851205746536,1.3174322843551636,63.17929644193721,95.5692902909562
164,166,2.769433333333333,2500,2500,1834,1638,0.8931297709923665,2.4141743183135986,65.90233637508379,95.55880834004411
166,168,2.8028,2500,2500,1848,1659,0.8977272727272727,1.750884771347046,66.52699724333469,95.47213493341737
168,170,2.8361666666666667,2500,2500,1865,1507,0.8080428954423593,1.811005711555481,65.15553164163191,95.4036010643885
170,172,2.8695333333333335,2500,2500,1830,1519,0.8300546448087431,2.2523233890533447,62.15988824612373,95.33665225307237
172,174,2.9029000000000003,2500,2500,1822,1557,0.8545554335894622,1.530535101890564,64.03442638355244,95.23288312734148
174,176,2.9362666666666666,2500,2500,1632,1358,0.8321078431372549,3.2321386337280273,51.83858584284139,95.34156279542033
176,178,2.9696333333333333,2500,2500,1724,1404,0.814385150812065,4.805872917175293,54.5816621146554,95.28293681360363
178,180,3.003,2500,2500,1722,1366,0.7932636469221835,5.287474632263184,54.694990995071606,95.16998120980824
180,182,3.036366666666667,2500,2500,1765,1359,0.769971671388102,6.09494161605835,49.84759230994288,95.09631067422943
182,184,3.069733333333333,2500,2500,1748,1336,0.7643020594965675,6.380117416381836,48.03708300172708,95.13693060467071
184,186,3.1031,2500,2500,1700,1413,0.8311764705882353,5.142087459564209,51.19928581530711,94.98172916447837
186,188,3.1364666666666667,2500,2500,1721,1495,0.8686809994189425,3.6508400440216064,56.44470211604088,94.96049756077635
188,190,3.1698333333333335,2500,2500,1803,1489,0.8258458125346645,2.852975606918335,57.38179197656149,94.98822914113651
190,192,3.2032000000000003,2500,2500,1506,1121,0.7443559096945551,5.376306533813477,46.26626836687312,95.20704880197938
192,194,3.2365666666666666,2500,2500,1613,1249,0.7743335399876008,8.49183177947998,44.772714479601525,95.49380857346264
194,196,3.2699333333333334,2500,2500,1768,1392,0.7873303167420814,8.383469581604004,44.8434625881397,95.7073661052951
196,198,3.3033,2500,2500,1775,1361,0.7667605633802816,10.234602928161621,44.423379663501635,95.88413031173044
198,200,3.336666666666667,2500,2500,1745,1345,0.7707736389684814,9.466947555541992,46.46178936621881,96.06868413220826
200,202,3.370033333333333,2500,2500,1650,1296,0.7854545454545454,8.010927200317383,49.40062772746212,96.12337482347723
202,204,3.4034,2500,2500,1410,1135,0.8049645390070922,4.380913257598877,55.7981591115978,96.05590665592942
204,206,3.4367666666666667,2500,2500,1728,1465,0.8478009259259259,1.680062174797058,56.5048466945442,95.9464917194776
206,208,3.4701333333333335,2500,2500,1766,1548,0.8765571913929785,2.1444029808044434,61.28755992646001,95.93644086341514
208,210,3.5035000000000003,2500,2500,1763,1509,0.8559273964832672,2.3013064861297607,60.24493995699622,95.93999320168528
210,212,3.5368666666666666,2500,2500,1753,1498,0.8545350827153452,2.724508047103882,54.143095235285884,95.9591145559796
212,214,3.5702333333333334,2500,2500,1738,1453,0.836018411967779,3.175527811050415,51.970084119033984,95.83393730378255
214,216,3.6036,2500,2500,1597,1386,0.867877269881027,3.3943231105804443,48.24416017236651,95.76230626261919
216,218,3.636966666666667,2500,2500,1655,1268,0.7661631419939577,5.310265064239502,49.10483694127962,95.63264664519217
218,220,3.6703333333333332,2500,2500,1684,1363,0.8093824228028503,4.752940654754639,48.70319095044415,95.54392572038795
220,222,3.7037,2500,2500,1723,1267,0.7353453279164248,5.288143634796143,52.44771762989872,95.45091208291026
222,224,3.7370666666666668,2500,2500,1686,1315,0.7799525504151839,4.86724853515625,52.001565235628476,95.41017981980089
224,226,3.7704333333333335,2500,2500,1653,1348,0.8154869933454325,4.573633670806885,51.379765909945185,95.39148810149038
226,228,3.8038,2500,2500,1688,1392,0.8246445497630331,3.7514610290527344,48.23600666443179,95.35350361215177
228,230,3.8371666666666666,2500,2500,1765,1489,0.8436260623229461,3.5847904682159424,51.66104633394598,95.43062509482628
230,232,3.8705333333333334,2500,2500,1749,1424,0.8141795311606632,3.6587886810302734,46.533074270915755,95.6013649148606
232,234,3.9039,2500,2500,1704,1385,0.812793427230047,4.673367023468018,51.22034056155015,95.80170293407093
234,236,3.937266666666667,2500,2500,1707,1422,0.8330404217926186,2.8447213172912598,59.96704036505474,95.87386354352672
236,238,3.9706333333333332,2500,2500,1741,1454,0.8351522113727743,2.5490145683288574,60.176420372862765,95.90960648553389
238,240,4.0040000000000004,2500,2500,1761,1515,0.8603066439522998,4.012712478637695,54.25759217577685,95.8686918641971
240,242,4.037366666666666,2500,2500,1828,1418,0.7757111597374179,3.5857088565826416,51.558527173983435,95.6570979657575
242,244,4.070733333333333,2500,2500,1743,1492,0.8559954102122777,3.639143228530884,50.36971298817348,95.46890062789585
244,246,4.1041,2500,2500,1691,1337,0.7906564163217031,5.282376289367676,46.70994454337139,95.09314566483432
246,248,4.137466666666667,2500,2500,1535,1228,0.8,6.202413082122803,48.903830944407936,94.78721201988726
248,250,4.170833333333333,2500,2500,1617,1239,0.7662337662337663,7.521450519561768,49.21145452202063,94.55611016771121
250,252,4.2042,2500,2500,1670,1385,0.8293413173652695,6.053477764129639,53.84019996727981,94.25885312722477
